Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1200138,Bujari,AC,NORTE,2018-01-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-01-01,8
1200302,Feijó,AC,NORTE,2018-01-01,3
1200328,Jordão,AC,NORTE,2018-01-01,1
1200336,Mâncio Lima,AC,NORTE,2018-01-01,1
1200401,Rio Branco,AC,NORTE,2018-01-01,31
1200427,Rodrigues Alves,AC,NORTE,2018-01-01,2
1200500,Sena Madureira,AC,NORTE,2018-01-01,1
1200450,Senador Guiomard,AC,NORTE,2018-01-01,1
1200609,Tarauacá,AC,NORTE,2018-01-01,1
1200708,Xapuri,AC,NORTE,2018-01-01,1
1200179,Capixaba,AC,NORTE,2018-02-01,3
1200203,Cruzeiro Do Sul,AC,NORTE,2018-02-01,4
1200302,Feijó,AC,NORTE,2018-02-01,1
1200807,Porto Acre,AC,NORTE,2018-02-01,1
1200401,Rio Branco,AC,NORTE,2018-02-01,18
1200609,Tarauacá,AC,NORTE,2018-02-01,1
1200138,Bujari,AC,NORTE,2018-03-01,1
1200179,Capixaba,AC,NORTE,2018-03-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-03-01,9
1200385,Plácido De Castro,AC,NORTE,2018-03-01,1
1200401,Rio Branco,AC,NORTE,2018-03-01,11
1200500,Sena Madureira,AC,NORTE,2018-03-01,2
1200450,Senador Guiomard,AC,NORTE,2018-03-01,2
1200609,Tarauacá,AC,NORTE,2018-03-01,2
1200013,Acrelândia,AC,NORTE,2018-04-01,1
1200104,Brasiléia,AC,NORTE,2018-04-01,2
1200203,Cruzeiro Do Sul,AC,NORTE,2018-04-01,3
1200302,Feijó,AC,NORTE,2018-04-01,1
1200385,Plácido De Castro,AC,NORTE,2018-04-01,3
1200807,Porto Acre,AC,NORTE,2018-04-01,2
1200401,Rio Branco,AC,NORTE,2018-04-01,15
1200450,Senador Guiomard,AC,NORTE,2018-04-01,1
1200609,Tarauacá,AC,NORTE,2018-04-01,2
1200013,Acrelândia,AC,NORTE,2018-05-01,1
1200104,Brasiléia,AC,NORTE,2018-05-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-05-01,6
1200302,Feijó,AC,NORTE,2018-05-01,2
1200385,Plácido De Castro,AC,NORTE,2018-05-01,1
1200401,Rio Branco,AC,NORTE,2018-05-01,22
1200427,Rodrigues Alves,AC,NORTE,2018-05-01,1
1200500,Sena Madureira,AC,NORTE,2018-05-01,1
1200609,Tarauacá,AC,NORTE,2018-05-01,1
1200054,Assis Brasil,AC,NORTE,2018-06-01,1
1200179,Capixaba,AC,NORTE,2018-06-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-06-01,7
1200252,Epitaciolândia,AC,NORTE,2018-06-01,1
1200302,Feijó,AC,NORTE,2018-06-01,2
1200385,Plácido De Castro,AC,NORTE,2018-06-01,1
1200807,Porto Acre,AC,NORTE,2018-06-01,1
1200401,Rio Branco,AC,NORTE,2018-06-01,18
1200500,Sena Madureira,AC,NORTE,2018-06-01,4
1200013,Acrelândia,AC,NORTE,2018-07-01,1
1200054,Assis Brasil,AC,NORTE,2018-07-01,4
1200104,Brasiléia,AC,NORTE,2018-07-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-07-01,7
1200302,Feijó,AC,NORTE,2018-07-01,2
1200336,Mâncio Lima,AC,NORTE,2018-07-01,2
1200401,Rio Branco,AC,NORTE,2018-07-01,33
1200500,Sena Madureira,AC,NORTE,2018-07-01,1
1200179,Capixaba,AC,NORTE,2018-08-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-08-01,6
1200336,Mâncio Lima,AC,NORTE,2018-08-01,4
1200401,Rio Branco,AC,NORTE,2018-08-01,19
1200609,Tarauacá,AC,NORTE,2018-08-01,3
1200179,Capixaba,AC,NORTE,2018-09-01,2
1200203,Cruzeiro Do Sul,AC,NORTE,2018-09-01,3
1200351,Marechal Thaumaturgo,AC,NORTE,2018-09-01,1
1200401,Rio Branco,AC,NORTE,2018-09-01,15
1200500,Sena Madureira,AC,NORTE,2018-09-01,1
1200450,Senador Guiomard,AC,NORTE,2018-09-01,1
1200609,Tarauacá,AC,NORTE,2018-09-01,2
1200013,Acrelândia,AC,NORTE,2018-10-01,1
1200054,Assis Brasil,AC,NORTE,2018-10-01,1
1200104,Brasiléia,AC,NORTE,2018-10-01,1
1200138,Bujari,AC,NORTE,2018-10-01,0
1200179,Capixaba,AC,NORTE,2018-10-01,1
1200203,Cruzeiro Do Sul,AC,NORTE,2018-10-01,3
1200252,Epitaciolândia,AC,NORTE,2018-10-01,0
1200302,Feijó,AC,NORTE,2018-10-01,3
