UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO; POPULAÇÃO ESTIMADA;COD
RO;11;00015;Alta Floresta D'Oeste;22516;1100015
RO;11;00023;Ariquemes;111148;1100023
RO;11;00031;Cabixi;5067;1100031
RO;11;00049;Cacoal;86416;1100049
RO;11;00056;Cerejeiras;16088;1100056
RO;11;00064;Colorado do Oeste;15213;1100064
RO;11;00072;Corumbiara;7052;1100072
RO;11;00080;Costa Marques;19255;1100080
RO;11;00098;Espigão D'Oeste;33009;1100098
RO;11;00106;Guajará-Mirim;46930;1100106
RO;11;00114;Jaru;51469;1100114
RO;11;00122;Ji-Paraná;131026;1100122
RO;11;00130;Machadinho D'Oeste;41724;1100130
RO;11;00148;Nova Brasilândia D'Oeste;20504;1100148
RO;11;00155;Ouro Preto do Oeste;35445;1100155
RO;11;00189;Pimenta Bueno;37098;1100189
RO;11;00205;Porto Velho;548952;1100205
RO;11;00254;Presidente Médici;18165;1100254
RO;11;00262;Rio Crespo;3843;1100262
RO;11;00288;Rolim de Moura;55748;1100288
RO;11;00296;Santa Luzia D'Oeste;5942;1100296
RO;11;00304;Vilhena;104517;1100304
RO;11;00320;São Miguel do Guaporé;23147;1100320
RO;11;00338;Nova Mamoré;32184;1100338
RO;11;00346;Alvorada D'Oeste;13807;1100346
RO;11;00379;Alto Alegre dos Parecis;13268;1100379
RO;11;00403;Alto Paraíso;22258;1100403
RO;11;00452;Buritis;41043;1100452
RO;11;00502;Novo Horizonte do Oeste;8125;1100502
RO;11;00601;Cacaulândia;6307;1100601
RO;11;00700;Campo Novo de Rondônia;14391;1100700
RO;11;00809;Candeias do Jamari;28068;1100809
RO;11;00908;Castanheiras;2923;1100908
RO;11;00924;Chupinguaia;11755;1100924
RO;11;00940;Cujubim;27131;1100940
RO;11;01005;Governador Jorge Teixeira;7130;1101005
RO;11;01104;Itapuã do Oeste;10819;1101104
RO;11;01203;Ministro Andreazza;9461;1101203
RO;11;01302;Mirante da Serra;10691;1101302
RO;11;01401;Monte Negro;16158;1101401
RO;11;01435;Nova União;6822;1101435
